type,name,url,duration,trigger,start_date,end_date,start_time,end_time
photo,Foot Finder,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/122425prodimage3.jpg,,,,,,
video,KayanoVideo,https://filedn.com/l36hK5EOAYipe61FhSOka9B/Retail/File%20Hosting/Signage%20Media/ASICSKayano32StoreCut.mp4,,,,,,
photo,KayanoPhoto,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/060225_2_Kayano32.jpg,,,,,,
photo,VIP Rewards,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/042825_4.jpg,,,,,,
photo,Altra,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/retail/retail_baseline/052225_6_Altra-COOP.jpg,,,,,,
video,WelcomeVIP,https://raw.githubusercontent.com/pwalkrrs/brightsign/main/assets/nil_vip_4k.mp4,,WelcomeVIP,,,,
photo,AHA,https://raw.githubusercontent.com/pwalkrrs/brightsign/main/assets/aha.jpg,,AHA,,,,
video,WelcomeVIP,https://filedn.com/l36hK5EOAYipe61FhSOka9B/Retail/File%20Hosting/Signage%20Media/saucony.mov,,Saucony,,,,
video,k1,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/k1.mov,,,,,,
video,k2,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/k2.mov,,,,,,
video,k3,https://raw.githubusercontent.com/pwalkrrs/rrsatv/main/k3.mov,,,,,,
